nodes	ancestor	time	species	diet	habitat	HI	dummy	habitat_diet	geography	body_size	body_size_log
1	0	0	NA	UNKNOWN	UNKNOWN	NA	NA	UNKNOWN	Africa	NA	NA
2	80	0.6431772	NA	Br	OH	NA	NA	BrOH	Africa	NA	NA
3	10	0.7802815	NA	MF	CH	NA	NA	MFCH	CSAs	NA	NA
4	5	0.942962	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
5	6	0.9077072	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
6	9	0.8739448	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
7	8	0.9213488	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
8	9	0.8850611	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
9	10	0.8382017	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
10	21	0.7447555	NA	UNKNOWN	CH	NA	NA	UNKNOWN	CSAs	NA	NA
11	12	0.9835385	NA	Br	MH	NA	NA	BrMH	SAm	NA	NA
12	16	0.8552846	NA	Br	MH	NA	NA	BrMH	SAm	NA	NA
13	14	0.8940044	NA	MF	MH	NA	NA	MFMH	SAm	NA	NA
14	15	0.8810027	NA	MF	MH	NA	NA	MFMH	SAm	NA	NA
15	16	0.8611477	NA	MF	MH	NA	NA	MFMH	SAm	NA	NA
16	17	0.8092756	NA	MF	MH	NA	NA	MFMH	SAm	NA	NA
17	20	0.7837984	NA	MF	MH	NA	NA	MFMH	SAm	NA	NA
18	19	0.814125	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
19	20	0.7315545	NA	MF	CH	NA	NA	MFCH	CSAs	NA	NA
20	21	0.7148516	NA	UNKNOWN	CH	NA	NA	UNKNOWN	CSAs	NA	NA
21	79	0.6831515	NA	UNKNOWN	MH	NA	NA	UNKNOWN	CSAs	NA	NA
22	36	0.846857	NA	MF	MH	NA	NA	MFMH	CSAs	NA	NA
23	24	0.9251671	NA	MF	MH	NA	NA	MFMH	Africa	NA	NA
24	26	0.9131909	NA	MF	MH	NA	NA	MFMH	Africa	NA	NA
25	26	0.9025901	NA	MF	MH	NA	NA	MFMH	Africa	NA	NA
26	27	0.8908151	NA	MF	MH	NA	NA	MFMH	Africa	NA	NA
